#CHROM	FROM	TO	ENSGID	GENE
chr1	1020123	1056118	ENSG00000188157	AGRN
chr1	1253909	1273885	ENSG00000160087	UBE2J2
chr1	1308567	1311677	ENSG00000169972	PUSL1
chr1	1335276	1349350	ENSG00000107404	DVL1
chr1	1373730	1375495	ENSG00000175756	AURKAIP1
chr1	1385711	1399328	ENSG00000221978	CCNL2
chr1	1401908	1407313	ENSG00000242485	MRPL20
chr1	1471769	1497848	ENSG00000160072	ATAD3B
chr1	1512151	1534687	ENSG00000197785	ATAD3A
chr1	1751232	1780457	ENSG00000008130	NADK
chr1	1785285	1891117	ENSG00000078369	GNB1
chr1	2019324	2030751	ENSG00000187730	GABRD
chr1	2050470	2185395	ENSG00000067606	PRKCZ
chr1	2403964	2413797	ENSG00000157911	PEX10
chr1	2586491	2591469	ENSG00000157870	FAM213B
chr1	3069168	3438621	ENSG00000142611	PRDM16
chr1	3652520	3736201	ENSG00000078900	TP73
chr1	5862811	5992473	ENSG00000131697	NPHP4
chr1	6181269	6209389	ENSG00000116251	RPL22
chr1	6264269	6394391	ENSG00000097021	ACOT7
chr1	6634168	6701924	ENSG00000007923	DNAJC11
chr1	7771269	7781432	ENSG00000049245	VAMP3
chr1	7954291	7985505	ENSG00000116288	PARK7
chr1	9234775	9271337	ENSG00000049239	H6PD
chr1	9539482	9585179	ENSG00000171612	SLC25A33
chr1	10210805	10381603	ENSG00000054523	KIF1B
chr1	10472288	10630758	ENSG00000142655	PEX14
chr1	10636604	10796650	ENSG00000130940	CASZ1
chr1	11106535	11262507	ENSG00000198793	MTOR
chr1	11273206	11296049	ENSG00000120942	UBIAD1
chr1	11736084	11754802	ENSG00000177674	AGTRAP
chr1	11785723	11806920	ENSG00000177000	MTHFR
chr1	11980181	12013514	ENSG00000116688	MFN2
chr1	15490832	15526534	ENSG00000132906	CASP9
chr1	15572353	15585110	ENSG00000116771	AGMAT
chr1	15659869	15661722	ENSG00000215695	RSC1A1
chr1	15736405	15741396	ENSG00000162461	SLC25A34
chr1	15807169	15809348	ENSG00000233954	UQCRHL
chr1	15941869	15976132	ENSG00000116809	ZBTB17
chr1	16014028	16019594	ENSG00000173641	HSPB7
chr1	16740273	16972979	ENSG00000058453	CROCC
chr1	17018722	17054170	ENSG00000117118	SDHB
chr1	18871430	18902781	ENSG00000159423	ALDH4A1
chr1	19303965	19312146	ENSG00000053371	AKR7A2
chr1	19312326	19329300	ENSG00000040487	PQLC2
chr1	19596977	19629821	ENSG00000173436	MINOS1
chr1	19596979	19658056	ENSG00000270136	MINOS1-NBL1
chr1	19975431	19980416	ENSG00000188257	PLA2G2A
chr1	20482391	20486220	ENSG00000162545	CAMK2N1
chr1	20499448	20508161	ENSG00000090432	MUL1
